"Na cronologia do mercado de capitais brasileiro, qual foi o principal instrumento financeiro da Fase 1 (pré-1965)?",Letras de Câmbio.
Em que ano foi criada a Comissão de Valores Mobiliários (CVM)?,1976.
Qual evento marcou a Fase 5 (1989) do mercado de capitais brasileiro?,A crise provocada pelo investidor Naji Nahas.
"Qual o principal objetivo do Novo Mercado, lançado pela Bovespa em 2000?",Estabelecer um segmento de empresas com práticas rigorosas de governança corporativa.
"A crise holandesa do século XVII, baseada na especulação de flores, é conhecida como _____.",Tulipamania.
Quem foi o responsável pela Bolha do Mississípi (1716-1720) nos Estados Unidos?,John Law.
Qual foi a queda percentual do Índice Dow Jones na 'Segunda-feira Negra' de 28 de outubro de 1929?,"12,82%."
Qual a principal causa da crise do Subprime de 2008?,A concessão de empréstimos hipotecários de alto risco para devedores sem comprovação de renda.
O que significa a sigla 'NINJA' no contexto da crise do subprime?,"No income, no job or asset (Sem renda, sem emprego ou patrimônio)."
"Qual banco de investimentos americano teve sua falência decretada em setembro de 2008, agravando a crise global?",Lehman Brothers.
A crise financeira europeia de 2010 teve início com rumores sobre a insolvência de qual país?,Grécia.
Qual o limite de relação dívida/PIB estabelecido pelo Tratado de Maastricht para a zona do euro?,60%.
Princípio da Análise Técnica: 'O preço _____ tudo'.,Desconta.
Por que a Análise Técnica afirma que a 'história se repete'?,Porque o comportamento da massa de investidores segue padrões emocionais recorrentes.
"Na análise técnica, como se define uma tendência de alta?",Pela formação de fundos ascendentes.
"Na análise técnica, como se define uma tendência de baixa?",Pela formação de topos descendentes.
O que é um 'Suporte' na análise técnica?,"Um nível de preço onde a força dos compradores supera a dos vendedores, interrompendo a queda."
O que é uma 'Resistência' na análise técnica?,"Um nível de preço onde a força dos vendedores supera a dos compradores, interrompendo a alta."
Quais são os quatro preços representados em cada figura de um gráfico 'Candlestick'?,"Abertura, Máximo, Mínimo e Fechamento."
O que representa o 'corpo' de uma vela (candle) no gráfico de Candlestick?,O intervalo entre os preços de abertura e fechamento.
Qual o objetivo principal da Análise Fundamentalista?,Determinar o valor intrínseco de uma empresa para formular recomendações de investimento.
Quem são os autores da obra clássica 'Security Analysis' (1934)?,Benjamin Graham e David Dodd.
O que caracteriza a análise fundamentalista do tipo 'Top-Down'?,"A abordagem que parte do cenário macroeconômico para o setor e, por fim, para a empresa."
O que caracteriza a análise fundamentalista do tipo 'Bottom-Up'?,"A seleção de ativos baseada primariamente nos dados individuais da empresa, independentemente do cenário macro."
Qual é o modelo de avaliação que projeta o valor da empresa baseado no valor presente dos fluxos de caixa futuros?,Fluxo de Caixa Descontado (FCD).
O Modelo de Gordon é um modelo de desconto de dividendos que assume uma taxa de crescimento _____.,Constante.
"Na análise de balanços, o que significa a sigla LAJIDA (ou EBITDA)?","Lucro antes de juros, imposto de renda, contribuição social, depreciação e amortização."
O que propõe o teorema de Modigliani-Miller sobre a estrutura de capital?,"Em mercados perfeitos, o valor de mercado de uma empresa é independente de sua estrutura de capital (endividamento)."
Quem desenvolveu as bases da moderna teoria de carteira em 1952?,Harry Markowitz.
"Na teoria de Markowitz, o que representa a 'Fronteira Eficiente'?",O conjunto de carteiras que oferece o maior retorno esperado para cada nível de risco.
Qual modelo de precificação de ativos relaciona o rendimento de um título com o risco sistemático (beta) do mercado?,CAPM (Capital Asset Pricing Model).
"No modelo CAPM, o que o coeficiente Beta ($\beta$) mede?",A volatilidade ou risco sistemático de um ativo em relação ao mercado.
Qual teoria de precificação de ativos utiliza múltiplos fatores de risco em vez de apenas o risco de mercado?,APT (Arbitrage Pricing Theory).
Quem é o autor considerado o pai da Hipótese dos Mercados Eficientes?,Eugene Fama.
O que afirma a Hipótese dos Mercados Eficientes?,Que os preços dos ativos refletem instantaneamente toda a informação relevante disponível.
Qual o princípio da contabilidade moderna que prioriza a realidade econômica sobre a documentação jurídica?,Essência sobre a forma.
Qual órgão é encarregado de emitir as normas contábeis brasileiras baseadas no padrão internacional?,Comitê de Pronunciamentos Contábeis (CPC).
A partir de qual ano a CVM tornou obrigatória a adoção do padrão contábil IFRS para companhias abertas no Brasil?,2010.
O que significa a sigla ASG (ou ESG)?,"Ambiental, Social e Governança Corporativa."
"Na análise de investimentos moderna, o que são considerados capitais 'intangíveis'?","Valor de marca, capital intelectual, tecnologia e relacionamento com clientes."
Qual entidade é responsável por certificar e fiscalizar os analistas de valores mobiliários no Brasil?,APIMEC Nacional.
Qual a instrução da CVM que regulamenta a atividade do analista de valores mobiliários?,Instrução CVM $n^o$ 483.
Quais são as três categorias de certificação CNPI?,"CNPI (Fundamentalista), CNPI-T (Técnico) e CNPI-P (Pleno)."
Qual a validade da certificação CNPI antes de necessitar de renovação pelo Programa de Educação Continuada (PEC)?,5 anos.
Quantos créditos de dedicação à atualização profissional o analista deve comprovar no PEC a cada 5 anos?,40 créditos.
O que caracteriza um 'Relatório de Análise' segundo a regulação da CVM?,Qualquer texto ou análise que possa auxiliar ou influenciar investidores na tomada de decisão de investimento.
Qual é a função do Conselho de Supervisão do Analista (CSA)?,"Orientar, supervisionar a fiscalização e atuar como instância de decisão e recurso em processos disciplinares."
"No contexto da análise técnica, quem desenvolveu a Teoria das Ondas em 1939?",Ralph Nelson Elliott.
O que caracteriza uma 'Tendência Lateral' no gráfico de preços?,A formação de topos e fundos em um mesmo nível horizontal.
Qual a finalidade da análise de múltiplos (como o P/L)?,Comparar o valor de mercado de uma empresa com seus fundamentos financeiros em relação a pares ou histórico.
Qual a diferença entre o risco sistemático e o risco não sistemático?,"O risco sistemático afeta todo o mercado (beta), enquanto o não sistemático é específico de uma empresa e pode ser diversificado."
O termo 'Value at Risk' (VaR) refere-se a _____.,"A pior perda esperada em um intervalo de tempo, sob condições normais de mercado, a um dado intervalo de confiança."
O 'Downside Risk' difere do desvio padrão por focar apenas em quais resultados?,Resultados negativos ou perdas financeiras em relação a uma meta.
O que são 'Green Bonds'?,Títulos de dívida emitidos para financiar projetos com impacto ambiental positivo.
"Na securitização de hipotecas, qual tranche é conhecida como 'Lixo Tóxico' (Toxic Waste)?","A tranche de capital (equity), que assume as primeiras perdas por inadimplência."
"A crise mexicana de 1994, caracterizada pela desvalorização súbita do peso, ficou conhecida como 'Efeito _____'.",Tequila.
Qual moeda foi o epicentro da crise asiática em julho de 1997?,O baht tailandês.
Por que a crise russa de 1998 impactou os mercados globais?,Devido à desvalorização do rublo e à declaração de moratória da dívida pública.
"Na análise técnica, qual é o requisito para que uma linha de tendência seja considerada 'confirmada'?",O toque do preço em um terceiro ponto da linha.
Qual o significado de um corpo de candle 'preenchido' (ou vermelho)?,O preço de fechamento foi inferior ao preço de abertura (dia de baixa).
